demanda_id;contrato_id;fornecedor_id;fornecedor;data_abertura;data_limite;data_conclusao;categoria_demanda;prioridade;status_demanda;sla_dias;tempo_atendimento_dias;sla_cumprido;valor_estimado;unidade
D0001;C003;F004;Delta Segurança;2025-06-28;2025-07-08;;Análise;Média;Atrasada;10;12;Não;15359,40;Atendimento
D0002;C012;F006;Forte Logística;2025-02-15;2025-03-02;2025-02-19;Solicitação;Baixa;Concluída;15;4;Sim;6616,22;Tecnologia
D0003;C015;F007;Global Sistemas;2025-06-21;2025-06-26;2025-07-09;Suporte;Alta;Concluída;5;18;Não;7352,93;Administrativo
D0004;C003;F004;Delta Segurança;2026-06-26;2026-06-28;2026-07-12;Análise;Crítica;Concluída;2;16;Não;16316,94;Atendimento
D0005;C009;F007;Global Sistemas;2025-10-11;2025-10-16;2025-10-23;Entrega;Alta;Concluída;5;12;Não;20111,25;Administrativo
D0006;C007;F008;Higieniza Mais;2026-02-04;2026-02-19;;Correção;Baixa;Cancelada;15;;Não se aplica;22265,91;Administrativo
D0007;C009;F007;Global Sistemas;2025-12-10;2025-12-25;;Análise;Baixa;Em andamento;15;;;11999,62;Administrativo
D0008;C015;F007;Global Sistemas;2025-06-19;2025-06-29;;Entrega;Média;Cancelada;10;;Não se aplica;13259,03;Administrativo
D0009;C014;F001;Alpha Serviços;2026-05-02;2026-05-17;;Manutenção;Baixa;Em andamento;15;;;7292,62;Administrativo
D0010;C015;F007;Global Sistemas;2025-02-03;2025-02-08;;Manutenção;Alta;Cancelada;5;;Não se aplica;12327,54;Administrativo
D0011;C014;F001;Alpha Serviços;2025-01-30;2025-02-01;;Manutenção;Crítica;Atrasada;2;19;Não;580,90;Administrativo
D0012;C010;F005;Eco Office;2026-05-04;2026-05-09;;Manutenção;Alta;Cancelada;5;;Não se aplica;7374,70;Tecnologia
D0013;C001;F001;Alpha Serviços;2025-07-17;2025-07-22;;Solicitação;Alta;Atrasada;5;20;Não;18057,54;Tecnologia
