pagamento_id;contrato_id;fornecedor_id;fornecedor;competencia;data_pagamento;valor_pago;status_pagamento;tipo_despesa
P0001;C017;F001;Alpha Serviços;2025-07;2025-07-19;18359,74;Pago;Manutenção
P0002;C016;F008;Higieniza Mais;2025-09;2026-01-16;41683,67;Pago;Serviço avulso
P0003;C006;F002;Beta Facilities;2026-12;2026-01-10;23220,18;Pago;Mensal
P0004;C006;F002;Beta Facilities;2026-03;2025-09-02;33811,23;Pago;Manutenção
P0005;C018;F009;InfraMax;2026-10;;3103,55;Em análise;Material
P0006;C015;F007;Global Sistemas;2026-08;2025-02-21;15559,68;Pago;Serviço avulso
P0007;C010;F005;Eco Office;2026-12;;30672,43;Em análise;Material
P0008;C017;F001;Alpha Serviços;2026-09;;49168,69;Em análise;Serviço avulso
P0009;C014;F001;Alpha Serviços;2026-10;2026-06-11;42981,02;Pago;Suporte
P0010;C020;F008;Higieniza Mais;2026-11;2026-06-12;38061,96;Pago;Serviço avulso
P0011;C011;F004;Delta Segurança;2026-03;2025-06-30;28611,72;Pago;Manutenção
P0012;C016;F008;Higieniza Mais;2026-01;2026-06-19;53902,95;Pago;Serviço avulso
P0013;C019;F009;InfraMax;2025-09;2025-12-17;34802,52;Pago;Serviço avulso
P0014;C005;F004;Delta Segurança;2026-07;2025-08-06;3915,96;Pago;Mensal
P0015;C011;F004;Delta Segurança;2026-02;2025-05-13;27403,86;Pago;Suporte
P0016;C016;F008;Higieniza Mais;2026-01;;43473,19;Em análise;Manutenção
P0017;C005;F004;Delta Segurança;2025-08;2025-11-20;7396,78;Pago;Material
P0018;C007;F008;Higieniza Mais;2026-03;2026-06-15;21313,91;Pago;Mensal
P0019;C001;F001;Alpha Serviços;2026-03;;27457,73;Em análise;Material
P0020;C019;F009;InfraMax;2025-08;2026-01-20;17466,79;Pago;Suporte
P0021;C018;F009;InfraMax;2025-09;2025-08-14;57200,28;Pago;Material
P0022;C011;F004;Delta Segurança;2026-02;;21313,94;Atrasado;Mensal
P0023;C006;F002;Beta Facilities;2026-03;;18287,89;Em análise;Suporte
